Instruction,Type,RV32,RV64,EFFEW8,EFFEW16,EFFEW32,EFFEW64,cp_asm_count,std_vec,cp_custom_vfncvt_rup_overflow,cp_custom_vfp_state,cp_custom_vfp_flags,cp_custom_FpRecSqrtEst_flag_edges,cp_custom_FpRecipEst_flag_edges,cp_custom_FpRecSqrtEst_edges,cp_custom_FpRecipEst_edges,cp_custom_vfp_NaN_input,cp_custom_vfclass_onehot,cp_custom_vfncvt_rod_overflow,cp_custom_vfredosum_ordered_sum,cp_custom_vfredosum_NAN_vl0,cp_custom_fmv_sf_vd_all_lmul,cp_custom_fmv_fs_vs2_all_lmul
vfnmsub.vv,VVVMR,x,x,,x,x,x,x,x,,,x,,,,,x,,,,,,
vfnmsub.vf,VFVM,x,x,,x,x,x,x,x,,,x,,,,,x,,,,,,
vfwmacc.vv,VVVMR,x,x,,x,x,,x,x,,,x,,,,,x,,,,,,
vfwmacc.vf,VFVM,x,x,,x,x,,x,x,,,x,,,,,x,,,,,,
vfwnmacc.vv,VVVMR,x,x,,x,x,,x,x,,,x,,,,,x,,,,,,
vfwnmacc.vf,VFVM,x,x,,x,x,,x,x,,,x,,,,,x,,,,,,
vfwmsac.vv,VVVMR,x,x,,x,x,,x,x,,,x,,,,,x,,,,,,
vfwmsac.vf,VFVM,x,x,,x,x,,x,x,,,x,,,,,x,,,,,,
vfwnmsac.vv,VVVMR,x,x,,x,x,,x,x,,,x,,,,,x,,,,,,
vfwnmsac.vf,VFVM,x,x,,x,x,,x,x,,,x,,,,,x,,,,,,
vfsqrt.v,VVM,x,x,,x,x,x,x,x,,,x,,,,,x,,,,,,
vfrsqrt7.v,VVM,x,x,,x,x,x,x,x,,,x,x,,x,,x,,,,,,
vfrec7.v,VVM,x,x,,x,x,x,x,x,,,x,,x,,x,x,,,,,,
vfmin.vv,VVVM,x,x,,x,x,x,x,x,,,x,,,,,x,,,,,,
vfmin.vf,VVFM,x,x,,x,x,x,x,x,,,x,,,,,x,,,,,,
vfmax.vv,VVVM,x,x,,x,x,x,x,x,,,x,,,,,x,,,,,,
vfmax.vf,VVFM,x,x,,x,x,x,x,x,,,x,,,,,x,,,,,,
vfsgnj.vv,VVVM,x,x,,x,x,x,x,x,,,x,,,,,x,,,,,,
vfsgnj.vf,VVFM,x,x,,x,x,x,x,x,,,x,,,,,x,,,,,,
vfsgnjn.vv,VVVM,x,x,,x,x,x,x,x,,,x,,,,,x,,,,,,
vfsgnjn.vf,VVFM,x,x,,x,x,x,x,x,,,x,,,,,x,,,,,,
vfsgnjx.vv,VVVM,x,x,,x,x,x,x,x,,,x,,,,,x,,,,,,
vfsgnjx.vf,VVFM,x,x,,x,x,x,x,x,,,x,,,,,x,,,,,,
vfredosum.vs,VVVM,x,x,,x,x,x,x,x,,,x,,,,,x,,,x,x,,
vfwredosum.vs,VVVM,x,x,,x,x,,x,x,,,x,,,,,x,,,,x,,
vfredusum.vs,VVVM,x,x,,x,x,x,x,x,,,x,,,,,x,,,,,,
vfwredusum.vs,VVVM,x,x,,x,x,,x,x,,,x,,,,,x,,,,,,
vfredmax.vs,VVVM,x,x,,x,x,x,x,x,,,x,,,,,x,,,,,,
