Instruction,Type,RV32,RV64,EFFEW8,EFFEW16,EFFEW32,EFFEW64,cp_asm_count,std_vec,cp_custom_vwholeRegLS_vill,cp_custom_vwholeRegLS_lmul,cp_custom_maskLS,cp_custom_ls_indexed,cp_custom_ffLS_update_vl,cp_custom_indexed_emul_data_only,cp_custom_masked_v0_operand
vlsseg5e8.v,VXXM,x,x,x,x,x,x,x,x,,,,,,,x
vlsseg5e16.v,VXXM,x,x,x,x,x,x,x,x,,,,,,,x
vlsseg5e32.v,VXXM,x,x,x,x,x,x,x,x,,,,,,,x
vlsseg5e64.v,VXXM,x,x,x,x,x,x,x,x,,,,,,,x
vlsseg6e8.v,VXXM,x,x,x,x,x,x,x,x,,,,,,,x
vlsseg6e16.v,VXXM,x,x,x,x,x,x,x,x,,,,,,,x
vlsseg6e32.v,VXXM,x,x,x,x,x,x,x,x,,,,,,,x
vlsseg6e64.v,VXXM,x,x,x,x,x,x,x,x,,,,,,,x
vlsseg7e8.v,VXXM,x,x,x,x,x,x,x,x,,,,,,,x
vlsseg7e16.v,VXXM,x,x,x,x,x,x,x,x,,,,,,,x
vlsseg7e32.v,VXXM,x,x,x,x,x,x,x,x,,,,,,,x
vlsseg7e64.v,VXXM,x,x,x,x,x,x,x,x,,,,,,,x
vlsseg8e8.v,VXXM,x,x,x,x,x,x,x,x,,,,,,,x
vlsseg8e16.v,VXXM,x,x,x,x,x,x,x,x,,,,,,,x
vlsseg8e32.v,VXXM,x,x,x,x,x,x,x,x,,,,,,,x
vlsseg8e64.v,VXXM,x,x,x,x,x,x,x,x,,,,,,,x
vluxei8.v,VXVM,x,x,x,x,x,x,x,x,,,,x,,x,x
vluxei16.v,VXVM,x,x,x,x,x,x,x,x,,,,x,,x,x
vluxei32.v,VXVM,x,x,x,x,x,x,x,x,,,,x,,x,x
vluxei64.v,VXVM,x,x,x,x,x,x,x,x,,,,x,,x,x
vluxseg2ei8.v,VXVM,x,x,x,x,x,x,x,x,,,,x,,x,x
vluxseg2ei16.v,VXVM,x,x,x,x,x,x,x,x,,,,x,,x,x
vluxseg2ei32.v,VXVM,x,x,x,x,x,x,x,x,,,,x,,x,x
vluxseg2ei64.v,VXVM,x,x,x,x,x,x,x,x,,,,x,,x,x
vluxseg3ei8.v,VXVM,x,x,x,x,x,x,x,x,,,,x,,x,x
vluxseg3ei16.v,VXVM,x,x,x,x,x,x,x,x,,,,x,,x,x
vluxseg3ei32.v,VXVM,x,x,x,x,x,x,x,x,,,,x,,x,x
vluxseg3ei64.v,VXVM,x,x,x,x,x,x,x,x,,,,x,,x,x
vluxseg4ei8.v,VXVM,x,x,x,x,x,x,x,x,,,,x,,x,x
vluxseg4ei16.v,VXVM,x,x,x,x,x,x,x,x,,,,x,,x,x
vluxseg4ei32.v,VXVM,x,x,x,x,x,x,x,x,,,,x,,x,x
vluxseg4ei64.v,VXVM,x,x,x,x,x,x,x,x,,,,x,,x,x
vluxseg5ei8.v,VXVM,x,x,x,x,x,x,x,x,,,,x,,x,x
vluxseg5ei16.v,VXVM,x,x,x,x,x,x,x,x,,,,x,,x,x
vluxseg5ei32.v,VXVM,x,x,x,x,x,x,x,x,,,,x,,x,x
vluxseg5ei64.v,VXVM,x,x,x,x,x,x,x,x,,,,x,,x,x
vluxseg6ei8.v,VXVM,x,x,x,x,x,x,x,x,,,,x,,x,x
vluxseg6ei16.v,VXVM,x,x,x,x,x,x,x,x,,,,x,,x,x
vluxseg6ei32.v,VXVM,x,x,x,x,x,x,x,x,,,,x,,x,x
